date,promotion,match_type,match_card,match_event
15.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=22620&amp;name=Abadon++"">Abadon</a> defeats Charlette Renegade (1:09)","<a href=""?id=1&amp;nr=341163"">AEW Dark #140</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=22619&amp;name=Anna+Jay"">Anna Jay</a> &amp; <a href=""?id=2&amp;nr=23406&amp;name=Skye+Blue"">Skye Blue</a> defeat <a href=""?id=2&amp;nr=23531&amp;name=Raychell+Rose"">Raychell Rose</a> &amp; <a href=""?id=2&amp;nr=5376&amp;name=The+Bunny++"">The Bunny</a> (5:07)","<a href=""?id=1&amp;nr=341163"">AEW Dark #140</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=892&amp;name=Frankie+Kazarian"">Frankie Kazarian</a>, <a href=""?id=28&amp;nr=38&amp;name=The+Hardys"">The Hardys</a> (<a href=""?id=2&amp;nr=891&amp;name=Jeff+Hardy"">Jeff Hardy</a> &amp; <a href=""?id=2&amp;nr=99&amp;name=Matt+Hardy"">Matt Hardy</a>) &amp; <a href=""?id=28&amp;nr=2381&amp;name=Top+Flight+"">Top Flight</a> (<a href=""?id=2&amp;nr=20610&amp;name=Dante+Martin"">Dante Martin</a> &amp; <a href=""?id=2&amp;nr=19862&amp;name=Darius+Martin"">Darius Martin</a>) defeat <a href=""?id=29&amp;nr=2914&amp;name=AFO"">AFO</a> (<a href=""?id=2&amp;nr=8047&amp;name=Angelico"">Angelico</a>, <a href=""?id=2&amp;nr=18653&amp;name=Isiah+Kassidy"">Isiah Kassidy</a>, <a href=""?id=2&amp;nr=15417&amp;name=Marq+Quen"">Marq Quen</a> &amp; <a href=""?id=2&amp;nr=4307&amp;name=The+Blade+++++"">The Blade</a>) &amp; <a href=""?id=2&amp;nr=19761&amp;name=Max+Caster"">Max Caster</a> (12:40)","<a href=""?id=1&amp;nr=341163"">AEW Dark #140</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=19517&amp;name=Lee+Moriarty"">Lee Moriarty</a> defeats <a href=""?id=2&amp;nr=10297&amp;name=Serpentico"">Serpentico</a> (3:50)","<a href=""?id=1&amp;nr=341163"">AEW Dark #140</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=10334&amp;name=Penta+Oscuro"">Penta Oscuro</a> defeats <a href=""?id=2&amp;nr=7870&amp;name=QT+Marshall"">QT Marshall</a> (7:15)","<a href=""?id=1&amp;nr=341163"">AEW Dark #140</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=22271&amp;name=Red+Velvet"">Red Velvet</a> defeats <a href=""?id=2&amp;nr=24237&amp;name=Dulce+Tormenta"">Dulce Tormenta</a> (2:35)","<a href=""?id=1&amp;nr=341163"">AEW Dark #140</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,"<a href=""?id=5&amp;nr=4331"">AEW World Title</a> Texas Death: ","<a href=""?id=2&amp;nr=11161&amp;name=Adam+Page"">Adam Page</a> (c) defeats <a href=""?id=2&amp;nr=7142&amp;name=Adam+Cole"">Adam Cole</a> (20:06)","<a href=""?id=1&amp;nr=336560"">AEW Rampage #37</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,Owen Hart Foundation Women's Tournament Qualifying: ,"<a href=""?id=2&amp;nr=12698&amp;name=Ruby+Soho"">Ruby Soho</a> defeats Robyn Renegade (8:22)","<a href=""?id=1&amp;nr=336560"">AEW Rampage #37</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,"<a href=""?id=5&amp;nr=4578"">AEW TNT Title</a>: ","<a href=""?id=2&amp;nr=15284&amp;name=Sammy+Guevara"">Sammy Guevara</a> defeats <a href=""?id=2&amp;nr=293&amp;name=Scorpio+Sky"">Scorpio Sky</a> (c) (12:44) - <span class=""MatchTitleChange"">TITLE CHANGE !!!</span>","<a href=""?id=1&amp;nr=336590"">AEW Battle Of The Belts II</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
15.04.2022,All Elite Wrestling,"<a href=""?id=5&amp;nr=4370"">AEW Women's World Title</a>: ","<a href=""?id=2&amp;nr=16209&amp;name=Thunder+Rosa"">Thunder Rosa</a> (c) defeats <a href=""?id=2&amp;nr=17025&amp;name=Nyla+Rose"">Nyla Rose</a> (14:04)","<a href=""?id=1&amp;nr=336590"">AEW Battle Of The Belts II</a> - TV-Show @ Curtis Culwell Center in Garland, Texas, USA"
