id,name,rating,current_gimmick,age,promotion,brand,active_roles,birthplace,gender,height,weight,www,alter_egos,roles,debut,experience,wrestling_style,nicknames,signature_moves,trainer,background,career_end,day_of_death,active
1111,Tommy Wilson,,,,,,,"San Diego, California, USA",male,77.0,224.0,http://www.facebook.com/tommy.wilson.712;https://twitter.com/MegaTommy82,Tommy Wilson,Singles Wrestler,2002,15.0,"Allrounder,Techniker","Mega King,Mr. Mega Star","Split-Legged Moonsault,Superkick",Ken Shamrock & Tom Howard,,2017,,False
1708,Mikey Batts,5.2,,,,,,"Tampa, Florida, USA",male,68.0,172.0,,"Mike Altieri,Mikey Batts","Singles Wrestler,WWE Development Wrestler",20.06.2003,4.0,"Techniker,High Flyer",Straight Up,"Batts Beater,Napoleon Complex,Phoenix Splash",Billy Kidman & Roderick Strong,,2007,,False
4408,Brian Jennings,,Brian Jennings,,Freelancer,,"Singles Wrestler,Tag Team Wrestler","Buffalo, New York, USA",male,74.0,238.0,https://myspace.com/buffaloselect;https://www.facebook.com/brian.jennings.12.14;https://twitter.com/buffalobadboy12,"Brian Jennings,Number Three","Singles Wrestler,Tag Team Wrestler",2002,20.0,Powerhouse,"4BJ,Buffalo Bad Boy","Six Pack Slam,Buffalo Stunner,Super Line 25,Buffalo Sleeper,Triple Suplex,Drunk Vertigo",,Football,,,False
298,Eric Schwarz,8.01,,,,,,"Mainz, Rheinland-Pfalz, Deutschland",male,76.0,240.0,http://www.myspace.com/eric_schwarz,"Eric Bauer,Eric Schwarz,Eric The Bounty Hunter,Bounty Hunter,Fritz Hellmeister","Singles Wrestler,Trainer",1996,26.0,"Allrounder,Techniker","Bounty Hunter,Made In Germany",Facecrusher,"Bruce Hart, Keith Hart & Robbie Brookside",Football,,,False
2848,Charlie Rage,,,,,,,"Harlow, Essex, England, UK",male,71.0,244.0,,"Charles Rhyse,Charlie Rage,Rage","Singles Wrestler,Promoter",2002,12.0,Techniker,,,,Ringen,2014,,False
2034,UK Kid,,UK Kid,40.0,Freelancer,,"Singles Wrestler,Promoter,Trainer","Fareham, England, UK",male,73.0,185.0,https://www.facebook.com/profile.php?id=644440466,"TJ Stomper,UK Kid","Singles Wrestler,Promoter,Trainer",1997,25.0,Techniker,,Top Rope Huracanrana,"Rudy Boy Gonzales, Shawn Michaels & Dory Funk Jr.",,,,False
533,Rasche Brown,4.83,,,,,,"Milwaukee, Wisconsin, USA",male,77.0,246.0,https://www.facebook.com/thekrush;http://www.myspace.com/theskullkrusher,"Krush,Rasche Brown,Skull Crusher,Skullkrusher,Skull Whistler",Singles Wrestler,12.1995,16.0,"Brawler,Powerhouse",,,,,09.01.2012,,False
1817,Matt Longtime,,Matt Longtime,,Freelancer,,"Singles Wrestler,Tag Team Wrestler","Wisconsin, USA",male,75.0,240.0,,Matt Longtime,"Singles Wrestler,Tag Team Wrestler",,,,Love Machine,Love Gun,Rich Finke,,,,False
576,Eric Priest,6.5,,,,,,"Detroit, Michigan, USA",male,75.0,238.0,,"Eric Priest,Uncle Chester","Singles Wrestler,Trainer",1999,21.0,Techniker,Underwear Model,Kiss Of Death,Ace Steel & Danny Dominion,,2020,,False
1695,Chandler McClure,,,,,,,"Wrigleyville, Illinois, USA",male,74.0,207.0,,"Chandler McClure,Mark Kayfabe","Singles Wrestler,Tag Team Wrestler",13.04.2003,19.0,"Techniker,High Flyer",Human Rulebook,"End Zone,Red Card Special,Touchdown",Eric Priest & Jayson Reign,,,,False
1801,Don Juan,3.0,,,,,,"Beaumont, Texas, USA",male,71.0,207.0,https://twitter.com/valenzrcw,"Ann Dromeda,Chris Valenzuela,Christian Valenz,Don Juan",Singles Wrestler,05.2000,22.0,Techniker,"Da Bomb,Delicious,El Mamacito",The Explosion,Rudy Boy Gonzales,,,,False
1770,Francisco Ciatso,,Francisco Ciatso,47.0,Freelancer,,Singles Wrestler,"Oyster Bay, New York, USA",male,70.0,222.0,https://www.facebook.com/francisco.ciatso;https://twitter.com/#!/FranciscoCiatso;http://www.myspace.com/uptownfrankiecapone,"Francisco Ciatso,Frankie Ciatso,Mike Ciatso,King Ciatso,Frankie Capone,Francisco Capone,Frankie Coverdale",Singles Wrestler,1996,26.0,Allrounder,"Throwback,Uptown","Finisher,Time For School",Adrian Street & WCW Power Plant,,,,False
4205,Shawn Patrick,,,,,,,"Birmingham, Alabama, USA",male,71.0,216.0,https://twitter.com/pinnaclesp;http://www.facebook.com/TeamPSP,Shawn Patrick,Singles Wrestler,03.2003,13.0,,"The OC Boy,The Pinnacle","Gory Bomb,Pinnihilator Leglock,Superkick","Mark Shrader, Jay Briscoe, Mark Briscoe & Taz",,2016,,False
646,Chris Hamrick,5.11,Chris Hamrick,55.0,Freelancer,,"Singles Wrestler,Tag Team Wrestler","Mooresboro, North Carolina, USA",male,73.0,209.0,https://twitter.com/chamrickecw;https://www.facebook.com/hiflyinghamrick;http://www.myspace.com/hiflyingchrishamrick,"Chris Hamrick,Crimson Dragon","Singles Wrestler,Tag Team Wrestler",1983,39.0,High Flyer,Confederate Currency,"Confederate Crunch,Tennessee Drop",Ricky Morton,,,,False
4074,Pequeno Violencia,,Pequeno Violencia,53.0,Freelancer,,"Singles Wrestler,Tag Team Wrestler","Oaxaca, Mexiko",male,62.0,165.0,,"Fierito,Pequeno Violencia","Singles Wrestler,Tag Team Wrestler",11.09.1990,31.0,High Flyer,,Flying Senton,El Cerrajero & El Gladiador,,,,False
